Youtuber,subscribers,video views,uploads,Country,channel_type,lowest_yearly_earnings,earnings_midpoint,highest_yearly_earnings
DONA ï¿½ï¿½,31700000,21031745531.0,166,United States,Entertainment,459800.0,3929900.0,7400000.0
Dream,31700000,2930015381.0,116,United States,Games,81100.0,690550.0,1300000.0
Lucas and Marcus,31600000,11615848291.0,1321,United States,Entertainment,936300.0,7968150.0,15000000.0
JustinBieberVEVO,31600000,26583873105.0,204,United States,Music,315400.0,2657700.0,5000000.0
Luis Fonsi,31400000,15176762479.0,0,Unknown,,0.0,0.0,0.0
Peppa Pig - Official Channel,31400000,22919271731.0,3589,United Kingdom,Education,734800.0,6267400.0,11800000.0
YOLO AVENTURAS,31200000,9673649438.0,65,Venezuela,Comedy,11.0,91.5,172.0
The Tonight Show Starring Jimmy Fallon,31200000,17111726160.0,8976,United States,Comedy,0.0,0.0,0.0
TheDonato,31200000,6187804950.0,3027,Argentina,Games,572000.0,4886000.0,9200000.0
ImagineDragons,30700000,16793072362.0,92,United States,Music,566500.0,4833250.0,9100000.0
Diana and Roma ESP,30700000,12355992466.0,578,United States,Entertainment,309000.0,2604500.0,4900000.0
Round2hell,30700000,3145161634.0,67,India,Entertainment,95500.0,797750.0,1500000.0
Zee News,30500000,16709857823.0,180092,India,News,1400000.0,11800000.0,22200000.0
AboFlah,30500000,4521573939.0,641,Kuwait,Entertainment,473700.0,4036850.0,7600000.0
AH,30400000,4332274962.0,2197,Indonesia,Entertainment,64300.0,532150.0,1000000.0
Trap Nation,30400000,14037426379.0,2725,United States,Music,137500.0,1168750.0,2200000.0
ýýýýýýýýýýýýýýý ýýýýýý ýýýýýýýýýýýýýýýýýý,30400000,17999961915.0,532,United States,Entertainment,368800.0,3134400.0,5900000.0
Boram Tube Vlog [ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,30300000,13546549817.0,223,United States,Entertainment,68200.0,584100.0,1100000.0
Adele,30200000,14199108016.0,15,United Kingdom,Music,411300.0,3505650.0,6600000.0
Talking Tom,30200000,15199330166.0,2,United States,Entertainment,0.0,0.0,0.0
ýýýýýýýý ýýýýýýýý ýýýýýýýýýý | toyoraljanahtv,30200000,27684955537.0,3254,Jordan,Music,349300.0,2974650.0,5600000.0
Frost Diamond,30100000,7277493940.0,0,Unknown,,0.0,0.0,0.0
Spinnin' Records,30100000,19607009165.0,11501,Netherlands,Music,300100.0,2550050.0,4800000.0
Little Angel: Nursery Rhymes & Kids Songs,30100000,22593193994.0,1349,United States,Education,322600.0,2761300.0,5200000.0
jacksepticeye,30100000,16246625836.0,5114,Unknown,Games,121300.0,1010650.0,1900000.0
Shawn Mendes,30000000,12831200855.0,133,Canada,Music,266200.0,2283100.0,4300000.0
ashish chanchlani vines,29800000,4457913639.0,151,India,Comedy,78500.0,689250.0,1300000.0
Ultra Records,29600000,17208027242.0,4903,United States,Music,245700.0,2072850.0,3900000.0
Popular on YouTube,29300000,0.0,3,Unknown,Education,0.0,0.025,0.05
Maluma,29300000,21226945136.0,14,Argentina,People,0.05,0.385,0.72
Zhong,29200000,14727238483.0,1513,United States,Entertainment,0.0,0.0,0.0
Enaldinho,29200000,11627437847.0,3654,Brazil,Games,909300.0,7704650.0,14500000.0
AuronPlay,29200000,4079141673.0,404,Spain,Comedy,36400.0,309650.0,582900.0
Shorts Break,29000000,19466238065.0,42,Unknown,,182.0,1541.0,2900.0
infobells - Tamil,28900000,17930570614.0,555,India,Education,329500.0,2814750.0,5300000.0
Aditya Music India,28500000,25857994495.0,0,Unknown,Music,0.0,0.0,0.0
The Late Late Show with James Corden,28400000,9956764048.0,5809,United States,Entertainment,79300.0,689650.0,1300000.0
Aditya Movies,28400000,10062770060.0,5436,India,Film,682100.0,5791050.0,10900000.0
Masha y el Oso,28300000,13577142726.0,6,Unknown,,0.01,0.055,0.1
infobells - Telugu,28300000,14814192034.0,505,India,Education,864300.0,7332150.0,13800000.0
HUM TV,28300000,23844936965.0,106983,Pakistan,Entertainment,2100000.0,17500000.0,32900000.0
Shemaroo Movies,28200000,7600740993.0,3009,India,Film,554900.0,4727450.0,8900000.0
Michael Jackson,28200000,14412474625.0,15,United States,Music,475800.0,4037900.0,7600000.0
Drake,28100000,15318895118.0,3,Unknown,Film,0.09,0.545,1.0
Goldmines Dishoom,28000000,8603468420.0,3878,Unknown,Film,387600.0,3293800.0,6200000.0
Sandeep Maheshwari,27800000,2303069221.0,0,Singapore,,0.0,0.0,0.0
